T,E,E_err,abs_M,abs_M_err,sus,sus_err,c,c_err
1.0,-4992.659340659341,0.2500554282608409,2498.133866133866,0.06420135658903173,0.001650374400823952,9.53073383793657e-05,0.0250360979679661,0.0014295460451878433
1.1,-4984.5874125874125,0.3527231913066966,2496.03996003996,0.09198625004063557,0.003079975151539951,0.00016280316910092951,0.041169607714137545,0.0021079555192212184
1.2,-4971.848151848152,0.4916961938247322,2492.6593406593406,0.13255066291301434,0.00586241597230608,0.0003017822102886927,0.06722414226909731,0.003219888857942852
1.3,-4950.497502497503,0.6772580218951804,2486.871128871129,0.1890419692957071,0.011006954775801311,0.0005787816663576402,0.10867150453244831,0.005284228990904839
1.4,-4920.031968031968,0.8773202526334324,2478.4455544455545,0.25150489069297977,0.018090847072151483,0.0009450290129978587,0.1572368401033613,0.008083561211914446
1.5,-4878.525474525474,1.0506601368029262,2466.4835164835163,0.3176225888063206,0.02692933147438642,0.0013925513649952316,0.1964427750737441,0.00924147123389906
1.6,-4819.268731268731,1.2403556781785308,2448.793206793207,0.39621718879516016,0.039286262189359086,0.0017737212312775143,0.24062823290595514,0.011555786832985738
1.7,-4742.245754245754,1.6302837900678495,2424.1438561438563,0.5570980684236342,0.0730984979056907,0.0034428231379819902,0.3682329496739308,0.016162890141488476
1.8,-4650.497502497503,1.9258615343566539,2393.0529470529473,0.7284013496591676,0.11802202104699606,0.006861373091279587,0.4583520484153185,0.021532354035787595
1.9,-4521.358641358642,2.3209681330664047,2344.5154845154843,1.0050238077820537,0.21285956359219937,0.012874461113866028,0.5974825449068657,0.030937405667379517
2.0,-4364.35964035964,2.595815723942269,2278.5234765234763,1.3378640245276423,0.35833400565468504,0.018349810174467178,0.674499753193859,0.03180053018450394
2.1,-4156.247752247752,3.3630312649283383,2171.908091908092,2.2191353038740664,0.9389497254089804,0.04429238550427525,1.0268743100384927,0.043541874885891264
2.2,-3870.4335664335663,4.0659659543342315,1977.6363636363637,4.278099235419205,3.3309882183931783,0.23347619426435215,1.3676538199129655,0.06043092858361372
2.3,-3456.979020979021,4.8355529190365525,1462.3856143856144,10.870932188289819,20.589363820386712,1.2156866898690433,1.7698264351482593,0.07458343673191266
2.4,-3026.021978021978,4.234712741106784,535.6603396603397,11.808067926156205,69.29770595704662,2.6792189159598623,1.2465781105341545,0.056141870736034445
2.5,-2762.6333666333667,3.767346341358132,322.4015984015984,7.183278914675007,24.389746832747672,0.9885409082635908,0.9092538466688157,0.03966284411432415
2.6,-2575.3246753246754,3.558397172527841,245.83216783216784,5.65787281079954,14.187834933682316,0.5948196163766333,0.7499912797568987,0.0323566406163809
2.7,-2408.4395604395604,3.414865198431024,186.3856143856144,4.560230143230682,8.22098423306815,0.3681562912383611,0.6404919411675617,0.0295156045603895
2.8,-2264.811188811189,3.126111066694894,162.47752247752248,4.00667602698702,5.989254832508721,0.2871743483593459,0.4990991312098776,0.02231246522076088
2.9,-2146.3656343656344,2.9923210478373243,145.74825174825176,3.4918296947776932,4.602319732559975,0.20197447045149372,0.42629913144273923,0.018289763522842766
3.0,-2044.015984015984,2.9944337545855024,132.0879120879121,3.217603450835829,3.7005871720021575,0.16704370041989589,0.398915561960517,0.017408201716531277
